Va_rms,Vb_rms,Vc_rms,Ia_rms,Ib_rms,Ic_rms,Va_mag,Va_ang,Ra,Xa,Vb_mag,Vb_ang,Rb,Xb,Vc_mag,Vc_ang,Rc,Xc,RFault,A,B,C,G
59.61461862,63.12982891,59.69086574,59.61486045,63.12982357,59.69081581,84.30780217,-3.036154505,0.999995943,5.50E-07,89.27906023,1.119456845,1.000000085,-2.72E-06,84.41563188,-1.009605756,1.000000837,2.50E-06,0.001,1,1,1,1
61.12753401,63.70872539,60.10468897,61.12777414,63.70878416,60.10457218,86.44738763,-3.032203075,0.999996072,1.77E-06,90.09774349,1.112935643,0.999999078,-3.28E-06,85.0008663,-0.997113874,1.000001943,1.86E-06,0.001,1,1,1,1
62.48784727,64.41550669,60.02020347,62.48810103,64.41556827,60.0200673,88.37116109,-3.019192279,0.999995939,1.98E-06,91.09728319,1.106903179,0.999999044,-3.54E-06,84.88138576,-0.984262907,1.000002269,1.93E-06,0.001,1,1,1,1
60.37078044,62.8605681,60.43116745,60.37102766,62.86063607,60.43103582,85.37717648,-3.060661061,0.999995905,1.98E-06,88.89826794,1.104906689,0.999998919,-3.53E-06,85.46257659,-1.01362452,1.000002178,1.84E-06,0.001,1,1,1,1
60.93785496,62.7031127,61.14074203,60.93812528,62.70317188,61.140598,86.17914095,-3.074559666,0.999995564,1.98E-06,88.67559238,1.100805412,0.999999056,-3.85E-06,86.4660666,-1.011773684,1.000002356,2.09E-06,0.001,1,1,1,1
62.41390788,63.24928731,61.2112947,62.41417149,63.24934999,61.21115126,88.266595,-3.062721703,0.999995776,1.98E-06,89.44799993,1.095953508,0.999999009,-3.73E-06,86.56584313,-0.995110476,1.000002343,1.93E-06,0.001,1,1,1,1
60.10499678,61.76946042,61.75323877,60.10526033,61.76952461,61.75309999,85.00130162,-3.10201776,0.999995615,1.93E-06,87.35520866,1.101559158,0.999998961,-3.79E-06,87.33226779,-1.023279036,1.000002247,1.96E-06,0.001,1,1,1,1
62.02093522,62.61244451,61.72330841,62.02119921,62.61250657,61.72316766,87.71084773,-3.084183629,0.999995744,1.92E-06,88.54736819,1.093204116,0.999999009,-3.74E-06,87.28993986,-1.003621879,1.00000228,1.91E-06,0.001,1,1,1,1
62.61187759,61.7378147,63.12137591,62.61214719,61.73787338,63.12123663,88.54656646,-3.126968642,0.999995694,1.78E-06,87.31045487,1.078972381,0.99999905,-3.81E-06,89.26710589,-1.011866623,1.000002207,1.89E-06,0.001,1,1,1,1
62.5351282,62.23550664,62.50576857,62.53539491,62.23556777,62.50562782,88.43802642,-3.106199543,0.999995735,1.86E-06,88.01429755,1.084423157,0.999999018,-3.77E-06,88.39650564,-1.00654367,1.000002252,1.88E-06,0.001,1,1,1,1
63.09564313,62.80752356,62.10055458,63.09590814,62.80758523,62.10041259,89.23071424,-3.087193961,0.9999958,1.90E-06,88.82325163,1.085627884,0.999999018,-3.74E-06,87.82344652,-0.996553103,1.000002286,1.87E-06,0.001,1,1,1,1
62.26502335,62.40007451,62.19749662,62.26528872,62.40013617,62.19735614,88.05604048,-3.09756042,0.999995738,1.88E-06,88.24703167,1.088340422,0.999999012,-3.76E-06,87.96054327,-1.006297251,1.000002259,1.90E-06,0.001,1,1,1,1
62.64538151,62.43790821,62.37878308,62.64564794,62.4379687,62.37864267,88.59394815,-3.099920259,0.999995747,1.86E-06,88.3005366,1.085474294,0.999999031,-3.76E-06,88.21692104,-1.004143803,1.000002251,1.89E-06,0.001,1,1,1,1
62.16125273,62.07311206,62.4781843,62.16151944,62.07317305,62.47804426,87.90928667,-3.108733691,0.999995709,1.85E-06,87.78463694,1.086384386,0.999999017,-3.78E-06,88.35749559,-1.009759069,1.000002242,1.90E-06,0.001,1,1,1,1
62.47885167,62.45019363,62.21396686,62.47911657,62.45025526,62.21382652,88.35843939,-3.096687866,0.99999576,1.88E-06,88.3179108,1.087088524,0.999999013,-3.75E-06,87.9838357,-1.004206187,1.000002256,1.88E-06,0.001,1,1,1,1
6552.899826,6804.930627,6619.901213,0.0065529,0.006804931,0.006619901,9267.199807,-1.601323627,1000000.003,-0.108539672,9623.625183,2.609795445,1000000.09,0.052529899,9361.954077,0.554073525,999999.9089,0.057040938,1,0,0,0,0
6549.8962,6809.237388,6619.439383,0.006549896,0.006809237,0.006619439,9262.952039,-1.601788803,1000000.003,-0.108602074,9629.715863,2.609842903,1000000.09,0.052489581,9361.300951,0.554550621,999999.9089,0.057105,1,0,0,0,0
6550.371863,6809.029053,6619.763243,0.006550372,0.006809029,0.006619763,9263.624727,-1.601901422,1000000.003,-0.108594306,9629.421233,2.609791819,1000000.09,0.052495803,9361.758957,0.554595147,999999.9089,0.05710669,1,0,0,0,0
6550.218464,6809.491844,6617.394464,0.006550218,0.006809492,0.006617394,9263.407788,-1.601797692,1000000.003,-0.108600152,9630.075719,2.609916808,1000000.09,0.052484754,9358.408998,0.5545595,999999.9089,0.057123173,1,0,0,0,0
6550.492756,6808.427547,6618.855299,0.006550493,0.006808428,0.006618855,9263.795696,-1.601737236,1000000.003,-0.108591293,9628.570576,2.609853774,1000000.09,0.052496427,9360.474931,0.554509441,999999.9089,0.057103708,1,0,0,0,0
6549.785217,6809.986332,6619.851915,0.006549785,0.006809986,0.006619852,9262.795085,-1.601773439,1000000.003,-0.108605526,9630.77503,2.609866224,1000000.09,0.052480271,9361.884359,0.554752463,999999.9089,0.057122784,1,0,0,0,0
